ULN,CYPMD_ID,SURNAME,FORENAMES,SEX,DOB,AGE,EXAMNO,GNUMBER,AB_Code,EXAMYEAR,SEASON,exam_date,Short_Qual_Desc,SubjectDescription,GRADE,POINTS_1618,CAPPED_PTS,ANCN,ADFECN,BRDSUBNO,MAPPING,Level3QualificationCategory,EMQualificationCategory,R_INCL,R_INCL_EM,QUAL_KS4,UKPRN,URN,LAESTAB
1651662547,CYP0000056,Lovegood,Baldrick,M,29/09/2007,17,7436,60182611,70,2026,S,2026-11-05,GCE A,Mathematics,A,50,0,,0,9MA0,,A level,,1,0,0,10004270,142313,8604070
5212581851,CYP0000062,Janeway,Kathryn,F,16/03/2009,16,7595,60370683,10,2026,S,2026-11-05,BTEC NEC,Sport,P,16,0,,0,31525H,,Applied general,,1,0,0,10004270,142313,8604070
9426850694,CYP0000064,Meldrew,Beatrice,F,25/02/2009,16,5110,60340005,44,2026,S,2026-11-05,Tech Level,Engineering,D,40,0,,0,05822,,Tech level,,1,0,0,10004270,142313,8604070
9503787171,CYP0000066,Clegg,Baldrick,M,26/12/2007,17,7982,60147542,01,2026,S,2026-11-05,GCE A,English Literature,D,20,0,,0,H472,,A level,,1,0,0,10004270,142313,8604070
2905085701,CYP0000070,Crusher,Chirrut,M,10/05/2008,17,5020,60370683,10,2026,S,2026-11-05,BTEC NEC,Sport,M,32,0,,0,31525H,,Applied general,,1,0,0,10004270,142313,8604070
9403012103,CYP0000084,Skywalker,Poe,M,09/03/2009,16,1324,60310384,70,2026,S,2026-11-05,GCSE,Mathematics,4,4,4,,0,1MA1,,,Mathematics,1,1,0,10004270,142313,8604070
8809871735,CYP0000094,La Forge,Geordi,F,23/03/2009,16,3333,60340005,44,2026,S,2026-11-05,Tech Level,Engineering,D,40,0,,0,05822,,Tech level,,1,0,0,10004270,142313,8604070
2613385303,CYP0000100,Janeway,Hera,F,13/03/2008,17,9579,60340005,44,2026,S,2026-11-05,Tech Level,Engineering,M,32,0,,0,05822,,Tech level,,1,0,0,10004270,142313,8604070
4915196257,CYP0000102,Blackadder,Stewie,M,30/06/2008,17,6691,60182490,70,2026,S,2026-11-05,GCE A,Biology,B,40,0,,0,9BI0,,A level,,1,0,0,10004270,142313,8604070
8081204252,CYP0000104,Djarin,Guinan,F,14/03/2008,17,2507,60147542,01,2026,S,2026-11-05,GCE A,English Literature,A*,60,0,,0,H472,,A level,,1,0,0,10004270,142313,8604070
9493209128,CYP0000106,Picard,Jean-Luc,F,02/06/2008,17,2077,60313567,10,2026,S,2026-11-05,BTEC ND,Business,DD,96,0,,0,31489H,,Applied general,,1,0,0,10004270,142313,8604070
1494287462,CYP0000114,Erso,Beverly,F,24/09/2008,16,2170,60370683,10,2026,S,2026-11-05,BTEC NEC,Sport,M,32,0,,0,31525H,,Applied general,,1,0,0,10004270,142313,8604070
7590302909,CYP0000120,Djarin,Kira,F,19/10/2007,17,4000,60340005,44,2026,S,2026-11-05,Tech Level,Engineering,M,32,0,,0,05822,,Tech level,,1,0,0,10004270,142313,8604070
4104309491,CYP0000126,Organa,Leia,F,21/11/2008,16,4294,60310025,70,2026,S,2026-11-05,GCSE,English Language,5,5,5,,0,1EN0,,,English Language,1,1,0,10004270,142313,8604070
9379439373,CYP0000128,Puddifoot,Finn,M,06/09/2007,17,3879,60310384,70,2026,S,2026-11-05,GCSE,Mathematics,5,5,5,,0,1MA1,,,Mathematics,1,1,0,10004270,142313,8604070
9912067529,CYP0000136,Andor,Marigold,F,13/03/2009,16,6430,60370683,10,2026,S,2026-11-05,BTEC NEC,Sport,D*,56,0,,0,31525H,,Applied general,,1,0,0,10004270,142313,8604070
9316609031,CYP0000138,Torres,Cassian,M,03/06/2009,16,4580,60310384,70,2026,S,2026-11-05,GCSE,Mathematics,5,5,5,,0,1MA1,,,Mathematics,1,1,0,10004270,142313,8604070
9699264134,CYP0000144,Mouse,Seven,F,05/07/2008,17,9079,60147542,01,2026,S,2026-11-05,GCE A,English Literature,A,50,0,,0,H472,,A level,,1,0,0,10004270,142313,8604070
1171543543,CYP0000158,Skywalker,Luke,F,20/11/2007,17,1092,60183512,70,2026,S,2026-11-05,GCE A,History,D,20,0,,0,9HI0,,A level,,1,0,0,10004270,142313,8604070
4588312351,CYP0000166,Doo,Tasha,F,14/03/2009,16,4693,60183512,70,2026,S,2026-11-05,GCE A,History,E,10,0,,0,9HI0,,A level,,1,0,0,10004270,142313,8604070
5114549022,CYP0000174,Featherstone,Worf,M,06/06/2009,16,5271,60147542,01,2026,S,2026-11-05,GCE A,English Literature,A,50,0,,0,H472,,A level,,1,0,0,10004270,142313,8604070
8389750357,CYP0000176,Doo,Arnold,M,09/11/2008,16,6263,60340005,44,2026,S,2026-11-05,Tech Level,Engineering,M,32,0,,0,05822,,Tech level,,1,0,0,10004270,142313,8604070
5963769028,CYP0000180,Dameron,William,M,13/01/2009,16,7786,60310025,70,2026,S,2026-11-05,GCSE,English Language,5,5,5,,0,1EN0,,,English Language,1,1,0,10004270,142313,8604070
