CYPMD_ID,SURNAME,FORENAMES,SEX,DOB,AGE,P_INCL,P_INCL_aims,attendance_year_0,attendance_year_1,attendance_year_2,src_laestab_0,src_laestab_1,src_laestab_2,LAESTAB,URN,UKPRN,ULN,KS4_DISADVANTAGE,ALEV,TOTENTS_ALEV,TOTPTSE_ALEV,ACAD,TOTENTS_ACAD,TOTPTSE_ACAD,TLEV,TOTENTS_TLEV,TOTPTSE_TLEV,AGEN,TOTENTS_AGEN,TOTPTSE_AGEN,TechCert,TOTENTS_TechCert,TOTPTSE_TechCert,TLEVEL,TOTENTS_TLEVEL,TOTPTSE_TLEVEL,L3_FLAG,TechCert_nodisc,L2VOC_nodisc,TLEV_nodisc,TLEV_denom,AGEN_nodisc,AGEN_denom,LearningAimReference,INSCOPE_E,PROGRESS_E,BASE_pts_E,BEST_E,EXEMPT_E,NO_ENTRIES_E,INSCOPE_M,PROGRESS_M,BASE_pts_M,BEST_M,EXEMPT_M,NO_ENTRIES_M,BEST_L3M,InScope_L3M,ACH_L3M,Retention_CompletionStatus,AimSize_Final,CoreAimFlag,Ret_Trigger,InScope_ALEV_Ret,Retained_ALEV_Ret,Ret_Assessed_ALEV,InScope_ALEV_2ndYr,Retained_ALEV_2ndYr,InScope_ACAD_Ret,Retained_ACAD_Ret,Ret_Assessed_ACAD,InScope_ACAD_2ndYr,Retained_ACAD_2ndYr,InScope_TLEV_Ret,Retained_TLEV_Ret,Ret_Assessed_TLEV,InScope_TLEV_2ndYr,Retained_TLEV_2ndYr,InScope_AGEN_Ret,Retained_AGEN_Ret,Ret_Assessed_AGEN,InScope_AGEN_2ndYr,Retained_AGEN_2ndYr,InScope_TechCert_Ret,Retained_TechCert_Ret,Ret_Assessed_TechCert,INCLUDE_B3,B3PTSE_B3,INCLUDE_AAB,AAB_FAC,KS4_Year_Calc
CYP0000052,Antilles,Wedge,M,20/07/2009,16,501,,1,0,0,SC,,,8604070,142313,10004270,2043030161,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.94,1,0,0,0,0,0,0,8X40Q08K,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
CYP0000053,Antilles,Wedge,M,03/06/2008,17,501,,1,1,0,SC,SC,,8604070,142313,10004270,8622026979,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,SNJKW5UT,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,2024
CYP0000054,Troi,Deanna,M,13/06/2009,16,501,,1,0,0,SC,,,8604070,142313,10004270,4256292393,0,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9UMRLH0L,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.35,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
CYP0000055,Organa,Hikaru,M,27/05/2008,17,501,,1,1,0,SC,SC,,8604070,142313,10004270,7858164010,0,1,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AKSM8J5D,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,1,2024
CYP0000056,Lovegood,Baldrick,M,29/09/2007,17,501,,1,1,0,SC,SC,,8604070,142313,10004270,1651662547,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,WQVC8D1X,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
CYP0000057,Mouse,Beatrice,F,10/10/2008,16,501,,1,0,0,SC,,,8604070,142313,10004270,1672302490,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7QUY64CF,0,0,0,0,,1,0,0,0,0,,1,0,0,0,2,0.35,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
CYP0000058,Solo,Tasha,F,29/04/2009,16,501,,1,0,0,SC,,,8604070,142313,10004270,8252816758,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,YKB1RY7G,0,0,0,0,,1,0,0,0,0,,1,1,1,1,1,0.35,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,2025
CYP0000059,Pearce,Kira,F,30/03/2009,16,501,,1,0,0,SC,,,8604070,142313,10004270,6726515966,0,1,4,10,1,1,79.21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5RBTXSRB,0,0,0,0,,1,0,0,0,0,,1,0,0,0,3,0.5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5,1,1,2025
CYP0000060,Troi,Minnie,F,07/05/2008,17,501,,1,1,0,SC,SC,,8604070,142313,10004270,1521521078,0,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7KZQSSRE,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
CYP0000061,Foggy,Odo,M,21/01/2008,17,501,,1,1,1,SC,SC,SC,8604070,142313,10004270,8964640525,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1N759JP5,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.35,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
CYP0000062,Janeway,Kathryn,F,16/03/2009,16,501,,1,0,0,SC,,,8604070,142313,10004270,5212581851,1,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45NL015B,1,-2.55,3.55,1,,0,0,0,0,0,,1,0,0,0,1,0.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.25,1,0,2025
