SCHCNO,CYPMD_ID,SURNAME,FORENAMES,SEX,DOB,AGE,LAESTAB,URN,UKPRN,ULN,PTSPE,GPTSPE,CampID_0,CampID_1
C0001,CYP0000001,Rimmer,Arnold,M,12/11/2008,16,8604070,142313,10004270,9963334018,5.33,4.82,,
C0002,CYP0000002,Picard,Blackadder,M,30/06/2009,16,8604070,142313,10004270,,4.66,3.9,,
C0003,CYP0000003,Organa,Din,M,21/02/2009,16,8604070,142313,10004270,,3.8,3.54,,
C0004,CYP0000004,Corbett,Rumpole,M,14/03/2007,18,8604070,142313,10004270,,,,,
C0005,CYP0000005,Baldrick,Miranda,F,27/12/2008,16,8604070,142313,10004270,5231494220,5.35,4.48,,
C0006,CYP0000006,Syndulla,Ginevra,F,02/03/2009,16,8604070,142313,10004270,,,,,
C0007,CYP0000007,Sisko,Jacob,M,24/11/2007,17,8604070,142313,10004270,1240251661,4.91,4.84,,
C0008,CYP0000008,Kirk,Kira,F,27/07/2008,17,8604070,142313,10004270,2137651678,,,,
C0001,CYP0000009,Weasley,Nyota,F,23/12/2008,16,2114505,100974,10002183,3119634399,3.36,2.5,,
C0002,CYP0000010,Umbridge,Jean-Luc,M,16/03/2009,16,2114505,100974,10002183,5047709743,6.38,5.63,,
C0001,CYP0000019,Sarek,Hyacinth,F,27/10/2007,17,2114507,100975,10002184,,,,,
C0002,CYP0000020,Rogers,Nyota,F,07/01/2009,16,2114507,100975,10002184,5618742930,4.2,3.34,,
C0001,CYP0000025,Umbridge,Edmund,M,31/12/2008,16,2136327,101173,10008488,3446737272,4.46,4.42,,
C0002,CYP0000026,Delacour,Manny,M,13/01/2008,17,2136327,101173,10008488,,4.59,3.92,,
C0001,CYP0000027,Meldrew,Wendy,F,17/07/2009,16,8808003,130648,10002435,5278201677,,,SDC-MAIN,SDC-MAIN
C0002,CYP0000028,Simpson,Edmund,M,21/11/2007,17,8808003,130648,10002435,3271782991,5.7,5.15,SDC-DIGITAL,SDC-DIGITAL
