UPN,MATCHREF,CYPMD_ID,SURNAME,FORENAME,SEX,DOB,AGE,P_INCL,LAESTAB,URN,ENTRYDAT,SENF,LANG1ST,ETHNIC,ACTYRGRP,NEWMOBILE
A86040700001B,10000,000001,Smith,Alice,M,2010-01-01,15,401,9334290,136774,2021-09-01,N,ENG,WBRI,10,1
A86040700002B,10001,000002,Smith,Bob,F,2010-02-02,15,403,9334290,136774,2021-09-02,N,ENB,WBRI,11,0
A86040700003B,10002,000003,Smith,Charlie,M,2010-03-03,15,414,9334290,136774,2021-09-03,N,OTH,WBRI,10,0
A86040700004B,10003,000004,Smith,Diana,F,2010-04-04,15,421,9334290,136774,2021-09-04,K,OTB,WBRI,11,0
A86040700005B,10004,000005,Smith,Edward,M,2010-05-05,15,431,9334290,136774,2021-09-05,E,REF,WBRI,10,0
A86040700006B,10005,000006,Smith,Fiona,F,2010-06-06,15,401,9334290,136774,2021-09-06,N,NOT,WIRI,11,1
A86040700007B,10006,000007,Smith,George,M,2010-07-07,15,403,9334290,136774,2021-09-07,N,ENG,WOTH,10,0
A86040700008B,10007,000008,Smith,Hannah,F,2010-08-08,15,414,9334290,136774,2021-09-08,N,ENB,MWBC,11,0
A86040700009B,10008,000009,Smith,Ian,M,2010-09-09,14,421,9334290,136774,2021-09-09,K,OTH,MWBA,10,0
A86040700010B,10009,000010,Smith,Julia,F,2010-10-10,14,431,9334290,136774,2021-09-10,E,OTB,MWAS,11,0
A86040700011B,10010,000011,Smith,Kevin,M,2010-11-11,14,401,9334290,136774,2021-09-11,N,REF,AIND,10,1
A86040700012B,10011,000012,Smith,Laura,F,2010-12-12,14,403,9334290,136774,2021-09-12,N,NOT,APKN,11,0
A86040700013B,10012,000013,Smith,Michael,M,2010-01-13,15,414,9334290,136774,2021-09-13,N,ENG,ABAN,10,0
A86040700014B,10013,000014,Smith,Nina,F,2010-02-14,15,421,9334290,136774,2021-09-14,K,ENB,BCRB,11,0
A86040700015B,10014,000015,Smith,Oscar,M,2010-03-15,15,431,9334290,136774,2021-09-15,E,OTH,BAFR,10,0
A86040700016B,10015,000016,Smith,Paula,F,2010-04-16,15,401,9334290,136774,2021-09-16,N,OTB,CHNE,11,1
A86040700017B,10016,000017,Smith,Quinn,M,2010-05-17,15,403,9334290,136774,2021-09-17,N,REF,OOTH,10,0
A86040700018B,10017,000018,Smith,Rachel,F,2010-06-18,15,414,9334290,136774,2021-09-18,N,NOT,REFU,11,0
A86040700019B,10018,000019,Smith,Steven,M,2010-07-19,15,421,9334290,136774,2021-09-19,K,ENG,NOBT,10,0
A86040700020B,10019,000020,Smith,Tina,F,2010-08-20,15,431,9334290,136774,2021-09-20,E,ENB,MOTH,11,0
A86040700021B,10020,000021,Jones,Alice,M,2010-09-21,14,401,9334290,136774,2021-09-01,N,OTH,WBRI,10,1
A86040700022B,10021,000022,Jones,Bob,F,2010-10-22,14,403,9334290,136774,2021-09-02,N,OTB,WBRI,11,0
A86040700023B,10022,000023,Jones,Charlie,M,2010-11-23,14,414,9334290,136774,2021-09-03,N,REF,WBRI,10,0
A86040700024B,10023,000024,Jones,Diana,F,2010-12-24,14,421,9334290,136774,2021-09-04,K,NOT,WBRI,11,0
A86040700025B,10024,000025,Jones,Edward,M,2010-01-25,15,431,9334290,136774,2021-09-05,E,ENG,WBRI,10,0
A86040700026B,10025,000026,Jones,Fiona,F,2010-02-26,15,401,9334290,136774,2021-09-06,N,ENB,WIRI,11,1
A86040700027B,10026,000027,Jones,George,M,2010-03-27,15,403,9334290,136774,2021-09-07,N,OTH,WOTH,10,0
A86040700028B,10027,000028,Jones,Hannah,F,2010-04-28,15,414,9334290,136774,2021-09-08,N,OTB,MWBC,11,0
A86040700029B,10028,000029,Jones,Ian,M,2010-05-01,15,421,9334290,136774,2021-09-09,K,REF,MWBA,10,0
A86040700030B,10029,000030,Jones,Julia,F,2010-06-02,15,431,9334290,136774,2021-09-10,E,NOT,MWAS,11,0
A86040700031B,10030,000031,Jones,Kevin,M,2010-07-03,15,401,9334290,136774,2021-09-11,N,ENG,AIND,10,1
A86040700032B,10031,000032,Jones,Laura,F,2010-08-04,15,403,9334290,136774,2021-09-12,N,ENB,APKN,11,0
A86040700033B,10032,000033,Jones,Michael,M,2010-09-05,14,414,9334290,136774,2021-09-13,N,OTH,ABAN,10,0
A86040700034B,10033,000034,Jones,Nina,F,2010-10-06,14,421,9334290,136774,2021-09-14,K,OTB,BCRB,11,0
A86040700035B,10034,000035,Jones,Oscar,M,2010-11-07,14,431,9334290,136774,2021-09-15,E,REF,BAFR,10,0
A86040700036B,10035,000036,Jones,Paula,F,2010-12-08,14,401,9334290,136774,2021-09-16,N,NOT,CHNE,11,1
A86040700037B,10036,000037,Jones,Quinn,M,2010-01-09,15,403,9334290,136774,2021-09-17,N,ENG,OOTH,10,0
A86040700038B,10037,000038,Jones,Rachel,F,2010-02-10,15,414,9334290,136774,2021-09-18,N,ENB,REFU,11,0
A86040700039B,10038,000039,Jones,Steven,M,2010-03-11,15,421,9334290,136774,2021-09-19,K,OTH,NOBT,10,0
A86040700040B,10039,000040,Jones,Tina,F,2010-04-12,15,431,9334290,136774,2021-09-20,E,OTB,MOTH,11,0
A86040700041B,10040,000041,Williams,Alice,M,2010-05-13,15,401,9334290,136774,2021-09-01,N,REF,WBRI,10,1
A86040700042B,10041,000042,Williams,Bob,F,2010-06-14,15,403,9334290,136774,2021-09-02,N,NOT,WBRI,11,0
A86040700043B,10042,000043,Williams,Charlie,M,2010-07-15,15,414,9334290,136774,2021-09-03,N,ENG,WBRI,10,0
A86040700044B,10043,000044,Williams,Diana,F,2010-08-16,15,421,9334290,136774,2021-09-04,K,ENB,WBRI,11,0
A86040700045B,10044,000045,Williams,Edward,M,2010-09-17,14,431,9334290,136774,2021-09-05,E,OTH,WBRI,10,0
A86040700046B,10045,000046,Williams,Fiona,F,2010-10-18,14,401,9334290,136774,2021-09-06,N,OTB,WIRI,11,1
A86040700047B,10046,000047,Williams,George,M,2010-11-19,14,403,9334290,136774,2021-09-07,N,REF,WOTH,10,0
A86040700048B,10047,000048,Williams,Hannah,F,2010-12-20,14,414,9334290,136774,2021-09-08,N,NOT,MWBC,11,0
A86040700049B,10048,000049,Williams,Ian,M,2010-01-21,15,421,9334290,136774,2021-09-09,K,ENG,MWBA,10,0
A86040700050B,10049,000050,Williams,Julia,F,2010-02-22,15,431,9334290,136774,2021-09-10,E,ENB,MWAS,11,0
A86040700051B,10050,000051,Williams,Kevin,M,2010-03-23,15,401,9334290,136774,2021-09-11,N,OTH,AIND,10,1
A86040700052B,10051,000052,Williams,Laura,F,2010-04-24,15,403,9334290,136774,2021-09-12,N,OTB,APKN,11,0
A86040700053B,10052,000053,Williams,Michael,M,2010-05-25,15,414,9334290,136774,2021-09-13,N,REF,ABAN,10,0
A86040700054B,10053,000054,Williams,Nina,F,2010-06-26,15,421,9334290,136774,2021-09-14,K,NOT,BCRB,11,0
A86040700055B,10054,000055,Williams,Oscar,M,2010-07-27,15,431,9334290,136774,2021-09-15,E,ENG,BAFR,10,0
A86040700056B,10055,000056,Williams,Paula,F,2010-08-28,15,401,9334290,136774,2021-09-16,N,ENB,CHNE,11,1
A86040700057B,10056,000057,Williams,Quinn,M,2010-09-01,14,403,9334290,136774,2021-09-17,N,OTH,OOTH,10,0
A86040700058B,10057,000058,Williams,Rachel,F,2010-10-02,14,414,9334290,136774,2021-09-18,N,OTB,REFU,11,0
A86040700059B,10058,000059,Williams,Steven,M,2010-11-03,14,421,9334290,136774,2021-09-19,K,REF,NOBT,10,0
A86040700060B,10059,000060,Williams,Tina,F,2010-12-04,14,431,9334290,136774,2021-09-20,E,NOT,MOTH,11,0
