ULN,CYPMD_ID,SURNAME,FORENAMES,SEX,DOB,AGE,EXAMNO,GNUMBER,AB_Code,EXAMYEAR,SEASON,exam_date,Short_Qual_Desc,SubjectDescription,GRADE,POINTS_1618,CAPPED_PTS,ANCN,ADFECN,BRDSUBNO,MAPPING,Level3QualificationCategory,EMQualificationCategory,R_INCL,R_INCL_EM,QUAL_KS4,UKPRN,URN,LAESTAB
2043030161,CYP0000052,Antilles,Wedge,M,20/07/2009,16,6609,60370683,10,2026,S,2026-06-15,BTEC NEC,Sport,M,32,0,,0,31525H,,Applied general,,1,0,0,10004270,142313,8604070
2043030161,CYP0000052,Antilles,Wedge,M,20/07/2009,16,5660,60310384,70,2026,S,2026-06-15,GCSE,Mathematics,7,7,7,,0,1MA1,,,Mathematics,1,1,0,10004270,142313,8604070
4256292393,CYP0000054,Troi,Deanna,M,13/06/2009,16,9793,60183512,70,2026,S,2026-06-15,GCE A,History,D,20,0,,0,9HI0,,A level,,1,0,0,10004270,142313,8604070
4256292393,CYP0000054,Troi,Deanna,M,13/06/2009,16,1647,60147542,01,2026,S,2026-06-15,GCE A,English Literature,A,50,0,,0,H472,,A level,,1,0,0,10004270,142313,8604070
1651662547,CYP0000056,Lovegood,Baldrick,M,29/09/2007,17,9613,60147542,01,2026,S,2026-06-15,GCE A,English Literature,D,20,0,,0,H472,,A level,,1,0,0,10004270,142313,8604070
1651662547,CYP0000056,Lovegood,Baldrick,M,29/09/2007,17,5861,60310025,70,2026,S,2026-06-15,GCSE,English Language,4,4,4,,0,1EN0,,,English Language,1,1,0,10004270,142313,8604070
8252816758,CYP0000058,Solo,Tasha,F,29/04/2009,16,6059,60182490,70,2026,S,2026-06-15,GCE A,Biology,B,40,0,,0,9BI0,,A level,,1,0,0,10004270,142313,8604070
8252816758,CYP0000058,Solo,Tasha,F,29/04/2009,16,6737,60313567,10,2026,S,2026-06-15,BTEC ND,Business,DD,96,0,,0,31489H,,Applied general,,1,0,0,10004270,142313,8604070
1521521078,CYP0000060,Troi,Minnie,F,07/05/2008,17,1443,60182611,70,2026,S,2026-06-15,GCE A,Mathematics,C,30,0,,0,9MA0,,A level,,1,0,0,10004270,142313,8604070
1521521078,CYP0000060,Troi,Minnie,F,07/05/2008,17,3410,60183512,70,2026,S,2026-06-15,GCE A,History,B,40,0,,0,9HI0,,A level,,1,0,0,10004270,142313,8604070
5212581851,CYP0000062,Janeway,Kathryn,F,16/03/2009,16,9201,60147542,01,2026,S,2026-06-15,GCE A,English Literature,A,50,0,,0,H472,,A level,,1,0,0,10004270,142313,8604070
5212581851,CYP0000062,Janeway,Kathryn,F,16/03/2009,16,4548,60313567,10,2026,S,2026-06-15,BTEC ND,Business,MM,64,0,,0,31489H,,Applied general,,1,0,0,10004270,142313,8604070
9426850694,CYP0000064,Meldrew,Beatrice,F,25/02/2009,16,6715,60183512,70,2026,S,2026-06-15,GCE A,History,B,40,0,,0,9HI0,,A level,,1,0,0,10004270,142313,8604070
9426850694,CYP0000064,Meldrew,Beatrice,F,25/02/2009,16,4161,60310025,70,2026,S,2026-06-15,GCSE,English Language,4,4,4,,0,1EN0,,,English Language,1,1,0,10004270,142313,8604070
9503787171,CYP0000066,Clegg,Baldrick,M,26/12/2007,17,1754,60370683,10,2026,S,2026-06-15,BTEC NEC,Sport,D*,56,0,,0,31525H,,Applied general,,1,0,0,10004270,142313,8604070
